name,channel_id,description
Billy Black,UCrULn6xfVxnwNQcq45YQEGQ,
YouNeek Studios,UC7CHsyTB0y85tewCdnN3XJw,"YouNeek studios is a hub for “YouNeek” and creative character-based storytelling and entertainment. Through the use of animation, illustration, film and other popular mediums, our goal is to build a massive library of diverse and eclectic characters that appeal to a broad audience. Simply put, we focus on telling extraordinary stories, about extraordinary characters."
Tetu Shani,UCfHMlfEIH6ZM5NL76Cfvw9g,AfricaSun
Slpn Beauty,UCGiiMK7BQpMLRaRyAibzNAw,Musician/Band
BOONDOCKS GANG,UCcZualQrdRLzrzY3pQ1lN3w,Celebrating our culture
Shukid,UCC3vlgIcoTkSuWSRHqorjeQ,#ShukidSeason
Janice Iche,UCC2Dure_QgC8puq2t5A_SSg,"Artist from Mombasa, Kenya."
POPPA DON,UC5ZjNNtsHZsE_7oH9yJ_3Dg,
Nairobi Sessions,UCaXSlpva1nzD5c05fT92g2w,David 'Blackman' Muthami is a Kenyan Award-Winning Music Producer.
Gazebo Boys 100,UCjrXiNmMX3jm174xmvr--EQ,Music group.
Prisca Ojwang',UCNtDfohyxsaIKqjiDpp5mCw,"Performing Artist | Songwriter

Prisca Ojwang' is inspiring the world through honest words craftily fused and musical melody with a whole lot of soul!"
Mraiya Gang 254,UCrTed2y1n2YFic7d21ndq4w,
Ite melodies,UC_NyWSN0qn3N2tCR9zdM0Hw,"ite melodies was first launched in the year 2015 January 5th main aim to nuture & raise upcoming talents to the best level of their dream.Since then the label has worked & raised big artists including hosting shows for the most famous artists in the country.
ite melodies is a registered company name consisting of other bussineses like movie Shop,Barber Shops & Salons & hoping to establish more bussiness apart from recording studio.We manage & brand artists.
ite (itenyi Dominic) is the main Producer & CEO at the company.
Among the famous artists & groups raised are:
1-BUBAH-(isakusuli)
2-GHETTO MECCIAHS(skele Wuh)
3-MIMOSA(mmhh Cover-Willy Paul & Rayvanny)
4-ITE-(malwedhe Cover)
5-KUNTA GENG-(Pongino/dandia mboko)
6-TRIPPLE C GANG-(tambla)
7-DOGO NUTTY-(the one cover-diamnd)
8-NASH-(thutha)"
EFFJI,UCL-kE1c3dOIwxTECTar5d-w,
BV Accurate,UC43KjDExEniALvc94B1Xi8A,All-round Kenyan artist.
