name,description,channel_id,date_subscribed
John Newman,"John Newman on Vevo - Official Music Videos, Live Performances, Interviews and more...",UC7KqPOHnMTzdBjkbTQp5ebg,2019-04-16T23:55:13.283985Z
Henry DeSagu,"I am Henry DeSagu, keeping you entertained is my command. Check back every week and subscribe to my Youtube channel. Henry DeSagu Entertainment is is a platform where people can watch funny and Amazing videos. We bring you a new video every week. Follow me on Facebook Henry DeSagu Entertainment. Instagram @henrydesagu Twitter:@henrydesagu
Thanks Team Desagu for Mob Love😊 To Tip  Desagu Comedy
Mpesa No. - 0719 508 529 ( DEBORAH MUTHONI )
Mpesa Till - 5623391 ( DESAGU DISCOUNTS INVESTMENTS
For Business and Inquiries email henrydesagu@gmail.com or what's app 0719508529",UC7MGnWilDcg157op0eKI1Tg,2017-12-07T06:21:04Z
GKB GANG 254,Kindly make sure to click on the red button (SUBSCRIBE) and on the bell that pops up...by doing this you will be getting alerts and notifications when we upload a video to our channel. keep in touch .❤️,UC7N_gKKRRNH0vBs8C34Ydvg,2018-04-30T14:41:05.705345Z
The Bmg Empire,,UC7Pf7xexhKpVlg-3Rv5NQqQ,2018-02-20T07:45:21.090601Z
Jzon Azari,"Jźon the Azarían: JZA. What is life without a little Food, Sex and Fantasies?! Indulge in delicious Cupcake Chats. The best conversations happen over a good meal but those you remember most include a sweet treat. Good food is like great sex or a good book, it may take a while but in the end the experience you receive makes it all worth it.",UC7Qtt9DHGbDhEUDHEJZm6mQ,2016-02-02T22:43:36Z
Kristina Schiano,"Welcome to the official Kristina Schiano YouTube channel! 

Hey Everyone! On this channel you will find my music, covers, collabs, live sets, medleys, behind the scenes footage, vlogs, Q&A videos, and so much more. I hope you enjoy!
WARNING...you will leave feeling happy and inspired. Watch at your own risk~Love you all!

https://www.kristinaschiano.com/

Brooklyn, NY",UC7U2Fn-lJz4lvIyTEFJ8J7A,2020-03-25T23:17:19.615961Z
kennedy,,UC7Z9omOEJUcomDUWPW_8jdg,2015-07-02T11:38:05Z
Joyce Maina - The East African Girl,,UC7cArULSgvm5tcslnUnv3fg,2019-10-17T22:09:58.512246Z
Ssaru,"Ssaru is a multi talented artist, Rapper, singer & song writer who debuted as a professional musician in November 2019 a year after completing High school. 

Officially known as Sylvia Saru “Ssaru” was born on the 19th of May 2002 in the coast region, later raised in Nairobi and the coastal region.

Ssaru’s discovery is widely attributed to technological advancements as her freestyle rap video went viral on social media platforms in October 2019. 

Since then Ssaru’s commitment to entertain and educate her fans through music has grown deeper has she has managed to collaborate with both established and uprising acts in the country including the likes of Mejja, Jovial, Bahati, Timmy Tidat & many more.",UC7dCFKu_W8-veV354axaPOg,2024-02-02T14:53:02.209824Z
The Good Company KE,"A crazy cool channel for all the madness from the creative geniuses at the Good Company. 

""You are the company that you keep""",UC7h4tUtdH0L06sDZVmBMc4Q,2021-01-01T06:32:17.312268Z
Red Bull Records,We're an independent record label dedicated to long-term artist development with a global perspective. Our mission is to provide our artists with an environment to succeed. Subscribe to our channel for more videos!,UC7qn3NBI3XV7d8I3cvZeABw,2017-02-27T22:20:05Z
Bhad Bhabie,Bhad Bhabie OFFICIAL YouTube,UC7rVvFP90pl7tAtPsVIhfww,2017-09-14T22:00:10Z
Icona Pop,"Official YouTube Channel of Swedish duo Icona Pop!

WE STILL DON’T CARE 👩🏻‍🦰🪩👩🏽
💚 CLUB ROMANTECH 💚
BODY TYPE out now 💖💲🏃🏾‍♀️🏃🏼‍♀️",UC7spdtNtUXp1xVdUS1M2Mxg,2016-07-05T23:41:02Z
Hailee Steinfeld,"Hailee Steinfeld on Vevo - Official Music Videos, Live Performances, Interviews and more...",UC7ttiY8KM99aLI79yHT6cAw,2018-05-11T01:07:20.343608Z
Big Sean,"Big Sean on Vevo - Official Music Videos, Live Performances, Interviews and more...",UC7zOpx9wgvGBCDEjujnAPQA,2019-12-17T02:01:13.015935Z
Cynthia Kimola,"What's This Channel All About?
I share tips and my experience as an African Voice Over Artist & Scholarship Opportunities For Africans 

About Me  🥰
I'm Cynthia Kimola, an African voice-over artist based in Nairobi, Kenya. 
I provide English & Swahili voice-overs for Kenyan, Regional and International projects. 
Listen to my demos here - https://cynthiakimola.com/
Want me to be the voice-over for your project?  - voices@cynthiakimola.com

INTERESTED IN VOICE OVERS?
Watch this video on how to become a voice-over artist - https://www.youtube.com/watch?v=AgmccsVcM_E

VOICE-OVER CAREER TIPS PLAYLIST - 
https://www.youtube.com/playlist?list=PL0VMwyTr9JFdZtYtDgzLVEPDTCbBA5WqA

LET'S CONNECT ON SOCIAL MEDIA 🥰
Website: https://cynthiakimola.com/
Facebook: https://www.facebook.com/cynthiakimol...
Instagram: https://www.instagram.com/cynthiakimola/
Twitter: https://twitter.com/CynthiaKimola
TikTok - https://www.tiktok.com/@cynthiakimola3",UC7zzMRVveA5pmYOu5tb0zcg,2017-06-05T19:15:26Z
MRX to the World,,UC8014Zt8GU_dY3rN9Elxvog,2019-07-09T19:30:33.169711Z
Code With Timz Owen,"Welcome to anything Computers and IT. I am Timz Owen . I am super glad to be teaching Coding and Programming to the Globe. Will be uploading different contents from scratch. Including Mobile application development, Tensorflow, Python, java, C/C++ programming, DevOps, Site Reliability Engineering, Automation, bash scripting and Data Structure. 
Kindly support me by subscribing and sharing to reach the world in tech.",UC803Y7oDBSaPFTP4WU1ufvA,2021-04-08T14:46:45.365511Z
Madonna,"The Madonna Channel is the official YouTube home for Madonna. As the best-selling female recording artist of all time, Madonna continues to leave an indelible mark on the world through her art, music, activism and humanitarian leadership. Madonna consistently pushes boundaries, spurs conversations and unites us all through her revolutionary work. Subscribe for the latest videos, music, news and updates. Enjoy Madonna’s groundbreaking music videos, live performances, humorous videos and more.",UC81VD6eeuLLSfyY_D-N8sVw,2015-03-19T16:09:57Z
EPICA,"Official EPICA YouTube Channel

Genre: SYMPHONIC METAL
Founded: 2002

Vocals: SIMONE SIMONS
Vocals + Guitar: MARK JANSEN 
Synth + Piano: COEN JANSSEN
Guitar: ISAAC DELAHAYE
Bass: ROB VAN DER LOO
Drums: ARIËN VAN WEESENBEEK",UC82lIgiaLTBkzhEebHWoazA,2017-11-25T20:24:15Z
Strange Music Inc,"The Official YouTube channel for Strange Music Inc. - independent record label founded by Tech N9ne & Travis O'Guin, EST 2000.

Check in for official music videos, songs, updates and exclusive behind the scenes content!",UC87iZ03xDe8csLCjWyV2E0A,2017-12-08T21:58:19Z
Sage the Gemini,"Official YouTube Channel of Sage The Gemini
http://www.sagethegeminiofficial.com",UC883qmidfw_r8GSE7peDPQw,2018-04-19T22:41:19.889769Z
waniz sharon,"Hey Love!!
Thanks for watching my videos.I am here to help you get in shape, save some cash(through DIYS) find the best  Wigs, Beauty products, etc 
I also sell wigs, Ankara outfits, shapewear.....Just check my website 😘
Order my products from  My website; https://global.shana.co.ke?ref=133

Experience the ease and affordability of our braided wigs designed for black women. Perfect for those battling hair loss or alopecia, our wigs save time, and are easy to manage and maintain. They offer a stylish solution that's more affordable than braiding your own hair. Explore more styles on our TikTok page or order directly from our website or through WhatsApp today.

You will get the best and Honest Reviews from me!! Remember to stay beautiful,healthy and happy!!
for business inquiries and reviews contact me at
Sharonwaniz8@gmail.com
WhatsApp Business:+254771608252
Follow me on instagram
@sharon Waniz
https://instagram.com/sharonwaniz?igshid=NmQ2ZmYxZjA=
@sharonwanizwigs",UC8C_VRGEg2aFbTc_KooAMKw,2019-10-30T21:11:47.947297Z
SM,,UC8Dx5ewuwNXBVe1daV-G2Qg,2016-07-24T12:46:35Z
Just Ivy Africa,,UC8GiIlMsjWnK0jqtemGm2FQ,2021-02-02T08:59:11.752453Z
Grandpa Government,,UC8Ji9hg-tHE2TCY9Ar68MSQ,2015-02-25T11:37:58Z
Waka Flocka,"🔥 OFFICIAL WAKA FLOCKA FLAME YOUTUBE CHANNEL 🔥

Welcome to the official YouTube channel of multi-platinum recording artist and trap music pioneer Waka Flocka Flame. 
From breakthrough hits like ""No Hands,"" ""Hard in da Paint,"" and ""O Let's Do It"" to his latest releases, this channel is your destination for authentic trap music that revolutionized the Atlanta hip-hop scene and influenced a generation of artists worldwide. Waka Flocka Flame continues to evolve as an artist while staying true to his high-energy style and raw authenticity. Experience the journey from trap god to global icon through exclusive content you won't find anywhere else.

FOLLOW
Instagram: https://www.instagram.com/wakaflocka
Twitter: https://twitter.com/wakaflocka
Facebook: https://www.facebook.com/wakaflocka
TikTok: https://www.tiktok.com/@wakaflocka
Official Website: https://www.wakaflocka.com
Contact: max@bsmmusic.com",UC8JvT2osp6pU4AOEmlGuYkw,2016-04-13T15:06:42Z
jamiefoxx,"Jamie Foxx on Vevo - Official Music Videos, Live Performances, Interviews and more...",UC8M3WivWgoljGSB1MTnx2gA,2018-04-16T01:05:19.150517Z
Mike WiLL Made-It,,UC8MMiPcTeVE-7ZDdkIQpZ1Q,2020-03-16T23:57:07.156907Z
Akothee Kenya,Independent African Queen ready to take you places both emotionally & physically with her performances. For bookings: info@aknotela.com,UC8NZHJl-gfDZxbBvmL0vCXQ,2016-03-19T16:09:04Z
Joyful living ,Living your life in different compartments is quite exhausting. To put it all together and have some unity of life is a goal of a lifetime. I hope the tips we share in this space will help each of us to deliberately curate our life and enjoy it fully,UC8R01jwnZXH3vqU2-ufQ_Ow,2018-05-09T20:16:01.17711Z
Casey Kamau (DJ K-C),,UC8SQgKQn89SdwmdLKOfRHOw,2016-09-14T11:59:30Z
Swat Matire Official,RECORDING AND PERFORMING ARTIST,UC8UMqD-D4gSesbCmbj4vz5g,2021-05-04T14:23:10.050174Z
Skylar Grey,"Skylar Grey on Vevo - Official Music Videos, Live Performances, Interviews and more...",UC8YY0LE8bFu4aMCXGjz027A,2018-04-16T01:05:18.998996Z
Trevor Noah,Welcome to the official YouTube channel of South African comedian Trevor Noah.,UC8bTQzxgvKkXDAaWkeuUlkg,2015-09-20T19:33:19Z
Alikiba,,UC8bXb71WSWyZdWI4AJedajQ,2018-04-18T23:45:27.309551Z
Content House Kenya,"Content House is a collective of writers, photographers and filmmakers. The collective was formed to create and distribute content on topics that were in the public interest, yet were underrepresented in the mainstream media. Content House seeks to bring to the public domain stories that would not otherwise find their way into the media and also find innovative ways of delivering the content -- through web, mobile and tablet ─ making sure it finds the widest possible audience.",UC8d1mgdtNNaZrHge36z_HMQ,2016-08-16T10:37:52Z
Dela,,UC8g0U8zvumFRkdy_ZQu3MqQ,2015-11-10T19:52:15Z
Yelawolf,"Yelawolf on Vevo - Official Music Videos, Live Performances, Interviews and more...",UC8g5kYW2ZLJPta700XDCt-g,2018-05-01T23:16:53.648819Z
Wordypix Company,"We're a Production Company based in Nairobi, Kenya.",UC8gQtqCaiuizl9ZERIlXZTQ,2017-02-03T17:38:41Z
3 o'clock,"Just another arguably handsome guy with a budget camera out to have some vlogging fun.
Hope you enjoy!
Twitter: @Daniel_Ngugi
Snapchat: @ngoogie
Instagram: @ngoogie",UC8jMdVax0Y3KxWGFwOsD9YA,2017-02-27T11:16:03Z
habieber.k. kadhi,"Hey there, and welcome to my YouTube channel.  Am here to explore and show you my little world , come  along ♡",UC8q4Jq6rfoeEWRnEHAF_Ybg,2020-04-21T07:45:47.603984Z
Lil Dicky,PENITH is here!!!,UC8rVJyj4zE0S9-sccMLifIA,2016-08-14T17:13:42Z
N N Taleb's Probability Questions ,"These are mini lectures explaining technical points in Taleb's INCERTO (Antifragile, The Black Swan, etc.) They are split into ""Technical Notes"" and ""Tutorials"".
Motto: Rigorous but not academic: science and scholarship for the real world, not as spectator sport.",UC8uY6yLP9BS4BUc9BSc0Jww,2020-10-03T21:25:55.238162Z
Official World of Dance,"Official World of Dance YouTube channel features top performances from our global network of 50+ events. 
Top scoring teams are automatically accepted to compete in our World of Dance Finals.

Established in 2008, our events have grown from a single event in Los Angeles, into an international competition with over 50+ countries participating, showcasing exceptional dancers from across the globe. Teams compete across divisions, earning a place in the WOD Summit Competition.

Join the World of Dance Summit in Los Angeles July 16th-21st, 2025! Teams from around the world will compete for a spot in the World of Dance Finals. This event features the world's best dance performances, master classes, and fundamentals.",UC8xib1EjaAbsstncxXSUNZg,2015-05-10T19:56:27Z
50 Cent,"50 Cent's Official Music Channel on YouTube.

Subscribe to be updated with new videos and new songs as they get posted.

https://www.50cent.com/",UC8zJedg1f4sKnyuHWeS6vyw,2015-09-27T21:46:36Z
Computerphile,"Videos about computers & computer stuff. Supported by Jane Street - https://jane-st.co/computerphile
Sister channel of Numberphile.",UC9-y-6csu5WGm29I7JiwpnA,2015-07-14T13:16:38Z
Dan Aceda,"The Official Channel for Dan Aceda, the crown prince of Benga.",UC924kCgLPht5dr-D8wDQk4A,2016-02-27T16:47:25Z
JoeBuddenVEVO,,UC93vlT8M2rgrPe4_XnIPt3A,2018-04-19T22:41:19.862725Z
mau from nowhere,"mau from nowhere blends hip-hop, R&B, and electronic textures into a soulful, genre-bending sound shaped between Nairobi, the UK, and the Netherlands. His music is both urgent and meditative — weaving melodic raps with reflective songwriting — drawing comparisons to Obongjayar, Noname, and Yinka Bernie, with influences spanning Outkast to Bloc Party.

His 2025 collaborative album PRESSURE with producer hihi, featuring COLORS-backed single “Let It Pass,” earned global attention from OkayAfrica, Music Crowns, and Wordplay Magazine. In 2024, his EP SOFT STEPS was praised by CLASH, Atwood, and 1883 for its fearless experimentation.

As a performer, mau has steadily built a reputation for intimate yet powerful live shows, carrying his sonic resonance and authenticity to stages in Nairobi and beyond. Named Apple Music’s Up Next Artist (May 2023) and spotlighted on COLORS, he continues carving out a borderless sonic identity with global reach.",UC94gIQ2gnfjsHo2sEcSrx7Q,2018-01-05T20:32:07.839446Z
Diana Machira ,A Lifestyle Blog by Diana Machira,UC99JslXbP-XvSZxY_US3iaA,2018-08-18T20:12:58.241091Z
Stratechery,,UC9AHywQeW9BOcOl7dg-YMqA,2024-03-07T09:58:02.741141Z
Fat Joe,,UC9AZd4iksgpbPbWlHCTgYFw,2020-05-05T01:02:19.497959Z
Ariana Grande,eternal sunshine deluxe ♡ 📦 out now,UC9CoOnJkIBMdeijd9qYoT_g,2018-04-16T01:05:18.737158Z
James Harden,"Atwal Music is a label dedicated to providing each and every fan with a state of the art, enjoyable experience.",UC9E5ER8gFtGYwoebQaqkktQ,2015-08-13T08:58:01Z
Meek Mill,"The official YouTube channel of recording artist Meek Mill. Subscribe for the latest music videos, performances, and more.",UC9HlWVtENbiMQzVRmnbJxtw,2015-06-30T21:44:45Z
kesha,"Kesha on Vevo - Official Music Videos, Live Performances, Interviews and more...",UC9HnKwLco0wfmmHJT4KOjJw,2018-04-16T01:05:19.047355Z
Emeli Sandé,"Roots, my new single, out now: https://slinky.to/ESRoots.

Join Sandé Sanctuary
https://aaa.planet.fans/h0mw1d

FOLLOW EMELI SANDE:
Website: http://www.emelisande.com
Facebook: http://www.facebook.com/emelisande
Twitter: http://www.twitter.com/emelisande
Instagram: http://www.instagram.com/emelisande
Soundcloud: http://www.soundcloud.com/emelisande
Spotify: http://bit.ly/SpotifyEmeliSande
TikTok: https://www.tiktok.com/@emelisandeofficial",UC9J4cBgrKRQG_1Qv99dSbSg,2018-04-27T00:00:43.16442Z
Monski 254,"Name; MONSKI 
Occupation; Recording and Performing Artist, Disk Jockey(DJ)
About MONSKI; 

Monski is a Disc Jockey and an independent Kenyan performing & recording artist , Hip Hop being her genre of choice. Her music is a blend of old school and modern day raps.

Bookings: monski254@gmail.com

Ill Dada

Hail Monski. 👑",UC9JXxoFsBe5W---7iFEkNzw,2016-07-13T16:21:19Z
Pitch Meeting,"So do we have a pitch for you...

Pitch Meeting is hosted by Ryan George and operated by ScreenRant. A leading digital publication founded in 2003,  ScreenRant has become one of the most trusted entertainment sites in the world.

Owned and operated by Valnet Inc.

For copyright matters relating to our channel please contact us directly at: legal@valnetinc.com.",UC9Kq-yEt1iYsbUzNOoIRK0g,2022-02-25T05:52:04.476293Z
Olly Alexander,my new album POLARI is out now 🏹🪽❤️‍🔥,UC9MNPh0ZtaDW0t-v7DlOEQA,2018-04-10T12:38:05.223502Z
Little Boots,Official Little Boots YouTube Channel,UC9Ml2lvx1rmaEuhNNQ2xzHA,2018-04-30T22:49:50.691591Z
keshiacool,,UC9MzdLkF6Pyf88zNLqwvcVg,2015-08-25T13:22:29Z
JuaCaliGenge,I was born Paul Nunda on the 12th of September 1979.I started rapping when I was in Jamhuri high school but I was not that actively involved in music.After finishing school in 1998 thats when I got active into music.I hooked up with Clemo my childhood friend and started calif records in the year 2000.At first I was meant to be a producer and look for guys who would rap.We hooked up with a few guys but things did not work out coz they did not have faith in us.So with pressure from clemo and a few friends I was forced to pick up the mic myself.And in the year 2001 'JUACALI' was born.Basically the name 'JUACALI' comes from my estate. It simply means 'know California' coz so many guys dont know where calif is.I released my first song 'RUKA' a dedication to Calif the same year which to our surprise went on to top the charts,UC9RpPbjGvopVlRQsBAmepjw,2017-01-09T21:16:49Z
MADE IN KIBERA,"Made In Kibera Production is the first studio in the heart of Kibera that provides quality audio visual services to the talented and gifted artists from within and outside Kibera at affordable costs.

An initiative by the Kibera Creative Arts ( KiCA) and Spanish organization called Kubuka.
Call us now on +254 700 438 879 | +254 712 681 966
http://www.madeinkibera.org/",UC9U1VqY_m61ecTwcyygO4bA,2020-02-29T08:05:28.234975Z
Coffee Break,Exploring interesting ideas in the time that you can drink your morning coffee.,UC9WQRw8jgJhag-vkDNTDMRg,2019-04-24T13:32:45.494891Z
Migos ATL,"www.migosofficial.com
www.qualitycontrolmusic.com

Culture III OUT NOW - https://QualityControl.lnk.to/CultureIII",UC9YcTIQuhwgoOQqYMKYqW9A,2017-02-13T09:15:24Z
a16z,"a16z is a venture capital firm that invests in software eating the world. Each week, we share videos on technology trends and advice for building companies.

The views expressed here are those of the individual personnel quoted and are not the views of a16z or its affiliates. This content is provided for informational purposes only, and should not be relied upon as legal, business, investment, or tax advice. Furthermore, this content is not directed at nor intended for use by any investors or prospective investors and may not under any circumstances be relied upon when making a decision to invest in any a16z funds. PLEASE SEE MORE HERE: https://a16z.com/disclosures/",UC9cn0TuPq4dnbTY-CBsm8XA,2017-12-11T08:43:47Z
Uptomyknees,"Fun with me, Max Landis, on The Youtube.",UC9e70u7DXmwFhuWbibgSWeg,2015-03-25T12:07:24Z
wereadhere,I talk about books!,UC9fMAvxtpbIRyWjfRKiLRiA,2021-02-08T09:55:26.760602Z
JennaMarbles,"For Business Inquiries: http://jennamarblesblog.com/contact-me/

http://www.facebook.com/pages/Jenna-Mourey/311917224927

http://twitter.com/Jenna_Marbles",UC9gFih9rw0zNCK3ZtoKQQyA,2015-03-25T12:07:24Z
Rae Sremmurd,"Rae Sremmurd is a Tupelo, MS born hip hop duo comprised of brothers Swae Lee  and Slim Jxmmi . After a period of producing music at home and playing at local parties in their mother's basement and bars, the brothers made it to second place on the ""Wild Out Wednesday"" segment on BET's hip hop and R&B show 106 and Park. The pair turned down major label record deals and eventually signed to Ear Drummer Records with CEO Mike Will Made-It on January 1, 2014.

www.raesremmurd.com",UC9iDw30SeRSm18kT98F5iAA,2018-05-11T01:07:20.526683Z
IEA Kenya,The Institute of Economic Affairs (IEA Kenya) is a think-tank that provides a platform for informed discussions in order to influence public policy in Kenya.,UC9juk8ErovZ4OyzmFscFRaw,2019-01-08T13:34:21.163853Z
Essen Music,"Essen Music is Kenya's Premier Record Label dedicated to transforming the Kenyan musical landscape one hit song at a time. We truly believe that Kenyan music has immense potential and that Kenyan musicians are among the best in the world. We therefore want to be a part of taking Kenyan music to international standards. Our artists are diverse, gifted in Swahili RnB, Afro Pop, Afro Beat, Bongo Flava and Hip Hop among others. Watch out for the Kenyan musical projects we are dropping in 2018",UC9mlwA7H2AbdTX7KeZbKdfw,2018-09-09T19:41:31.90304Z
Ngalah Oreyo,,UC9uqXZO0gx0mj70x2MEc1kw,2016-05-05T11:49:48Z
CTA - Cleaning The Airwaves,"""Our vision is to Clean The Airwaves (CTA) through the use of Culture Shaping Icons (CIS) to create, distribute, and promote Media With A Positive Influence (MWAPI). At the heart of our mission is the belief in PIPO (Positive In Positive Out), where we strive to produce content that inspires, educates, positively entertains, and aspires to better the lives of those who consume it."" #cta101",UC9xBLAzNAgV9SfnJuXhGnOw,2023-05-24T22:10:47.979639Z
Beyoncé,,UC9zX2xZIJ4cnwRsgBpHGvMg,2018-04-10T12:38:05.378924Z
Maandy,Official YouTube Channel of Kenyan Female Rapper Maandy.Subscribe for Updates.,UCA-KAJf71B6_G_RFu94LB-Q,2019-08-17T11:00:04.064551Z
Olivia Malia,"Sundays...Hair is my new found Love.
Wednesdays.. Lifestyle,beauty,fashion and a bit of Chit Chat..I got you!!",UCA02vrDKvZuUJY4WepzydPQ,2016-09-13T20:31:52Z
Big TV Bigideaskenya,"Big Ideas Entertainment has made it's mark on the East African scene. The company has mainly been involved in the production of Short films, TV Dramas and Documentaries.",UCA0s9PjZu5K908FQ0iYK7Xw,2017-03-17T19:59:56Z
Kanai's Beauty Hub,"Welcome to Kanai's beauty Hub, where we believe that makeup isn't just about looking good; it's a powerful tool for personal transformation and self-empowerment. Join us on this beauty journey as we explore the art of makeup and how it can elevate your self-esteem, boost your confidence, and unleash your inner beauty. Our channel is a safe and inclusive space where we celebrate diversity, share inspiring stories, provide makeup tutorials, and discuss the emotional impact of makeup. Together, we'll discover the magic that happens when brushes, palettes, and creativity come together to transform not only your look but also your life. So, if you're ready to embrace the beauty within and unlock your full potential, hit that subscribe button, and let's embark on this empowering makeup adventure together.",UCA5XL-TLVThdakAmdfoeZEA,2018-03-27T15:05:38.43549Z
Cam'ron,"Cam’ron has become a music and cultural icon by dropping some of the most legendary rap songs to date and never compromising his larger-than-life personality. With hit albums like ‘Come Home with Me’ and ‘Purple Haze’, the Harlem rapper and his Dipset crew shaped the face of Hip-Hop in the late 90s and early 2000s. Releasing a continuous stream of new music, Cam’ron has maintained his rep as one of the best rhyme slingers in the business. Keep an eye out on his YouTube channel for new music, videos, and albums.",UCA6ZkT-oyly9r6aK23HVkHw,2018-05-01T23:16:53.296905Z
Nancie Mwai,I hit record and hope for the best,UCA6flImISMUVXNwAOY2RvLA,2016-04-28T06:26:28Z
willowsmith,"Willow Smith on Vevo - Official Music Videos, Live Performances, Interviews and more...",UCA6rmShszaXLJJ8DTECQWnA,2018-04-30T22:49:50.767934Z
Coke Studio Africa,"The Official Coke Studio Africa channel on YouTube.

Coke Studio Africa is a convergence of a diverse number of prominent African artists coming together to produce exciting new performances and combine various genres of music from all around Africa. Coke Studio Africa brings together artists from different parts of Africa to co-create music in a fusion style. This is a first of its kind music program in Africa proudly supported by Coca-Cola.

#CokeStudioAfrica",UCABZrkBsGdCRGpibJOkKKmw,2015-12-31T07:42:37Z
Too Early For Birds,"Too Early for Birds is an endeavour to retell Kenyan history a way that kicks ass better than dusty old text books and yellowing archival files.

The stories here have been rewritten for film after appearing on stage.",UCADqgtiVGaSMSMIs3RPQ5xQ,2017-11-03T13:43:10Z
Steve Aoki,"New videos every week! Subscribe to Steve Aoki's YouTube channel for the latest music videos, tour footage, mixes, and the best in dance music!",UCALvGYb5h_MZCzW_vG8d8eQ,2014-11-06T11:59:04Z
Taylor Swift,"I'm the problem, it's me.",UCANLZYMidaCbLQFWXBC95Jg,2018-04-17T01:10:48.614496Z
Lisa Oduor-Noah,"A singer-songwriter, arranger and producer hailing from Nairobi, Kenya",UCANR4fKrcR8oAny5yRFSPVA,2014-06-11T11:02:52Z
Raisa Okwaras,"Introverted, all-round creative and basically that's it.",UCARi9-XeCe2BIuIdEKDjz0A,2018-04-24T16:20:43.182794Z
Paint,New videos every decade.,UCAVns3lt0t7w8lmUZQFlvrA,2015-08-04T21:53:53Z
sideshow official,Side Show is a web series that highlights different opinions on everything affecting the youth from a male and a female's perspective. Nothing personal just pick a side!!!!,UCAaY_pK_62t3dYltJjRE-Gw,2016-08-01T19:17:10Z
Bring Me The Horizon,L.I.V.E. in São Paulo in cinemas worldwide Mar 25 & 28 only. live album & DVD out Apr 10th.,UCAayZDDj3uom0QpSJiwLoUw,2018-04-07T12:52:41.785278Z
DJ Finalkut,"This is a page for people who enjoy my mixes and a source to check out my playlists, stream new and past shows, plus serves as a generous way of supporting me.
〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️
I offer a huge variety of genres and my mixes cater to all.
〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️
Currently, I post at least 2 downloadables.
These include:
►Audio and video mixes.
►Full Tracklist for each NEW mix.
►Downloads to ALL MY MIXES in High Quality.
〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️
➡️Join My Mixcloud Community:
https://www.mixcloud.com/DJFinalkut
〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️
Full Tracklist https://www.djfinalkut.co.ke/
〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️
► WebSites: https://www.djfinalkut.co.ke/
〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️
► Thanks for watching, and please subscribe :)",UCAbKebxk_lS4ABE7GlJBdfg,2016-03-30T20:27:41Z
Afroverse,"Everything life, laughter and living in Africa and the diaspora 🪐📻",UCAbsB0XSAjNq9BLVVh8KMZA,2018-06-07T21:07:06.314569Z
P K,Kenyan songbird,UCAfLHOAG3sw85qmAOIdVIxg,2016-10-08T21:59:45Z
Desiigner LOD,The Official Channel Of Music recording artist Desiigner. Download and Stream here: https://riveting.ffm.to/young-n-ballin,UCAfvFXvjzEupwo2NtyDhRZA,2018-04-17T01:10:49.057275Z
D12,"D-12 on Vevo - Official Music Videos, Live Performances, Interviews and more...",UCAiRvtfZ7BvphY8Xvhi6Qyw,2017-03-01T18:08:00Z
Money Box By Rookie Manager,"Money Box by Rookie Manager is a personal finance channel. We talk about money in a simple and fun way, we are totally jargon free!

Ask any questions you have about managing your money in the comments section, and we will do our best to answer them. 

This channel is managed by Kellie Murungi who also writes about personal finance on www.rookie-manager.com",UCAmkGOqv4YaDqt_dznHIMqw,2019-01-06T08:01:22.649503Z
Darshani Haria,,UCApHr6k1F1-yYBKpkMO-ENA,2019-07-28T11:47:19.146924Z
KingBach,"Hey what’s up I’m King Bach. I’m an actor, director, producer, stand up comedian, and cute Zaddy. You may know me from vine or TikTok or a bunch of Netflix movies. Either way glad you’re here Subscribe and let’s have fun!",UCAs1oazmkNDzpgiLZraMZMQ,2015-11-14T21:49:46Z
MUHONJA MUSIC & ENTERTAINMENT 🌍,"Muhonja is the founder of MUHONJA MUSIC & ENTERTAINMENT. She is an award-winning social activist who uses music as tool for advocacy, matters social equity, social equality and social justice! Through her music, both live and recorded performances, she tackles themes such as Gender Based Violence (GBV), rape, women empowerment, love, education, motherhood, teenage pregnancy, Female Genital Mutilation (FGM), corruption, death et al. In social activism, not only has Muhonja won the hearts of thousands of fans worldwide but also numerous accolades including Women Appreciating Women (WAW) Honorary Award (2019) where she was inducted into the WAW Hall of Fame in London for her exemplary and endless contribution to the society, by empowering young mothers in the  Muhonja Mujega Foundation (MMF). 

For bookings and/or enquiries :-

Email- muhonjamusic@gmail.com

Phone- (+254) 718602469",UCAsyxuxdRU-onqmhcJfgo7A,2021-02-14T18:02:43.958242Z
Shawn Mendes,,UCAvCL8hyXjSUHKEGuUPr1BA,2018-03-15T22:06:05.707674Z
Main Switch Studios,Record Label,UCAwSPSWsyyPgsFGSDZB2NZA,2016-05-11T20:52:27Z
